longitude,latitude,BuildingNumber
-61.39241422,15.34485253,11
-61.38865688,15.34195857,91
-61.3922075,15.34526175,16
-61.39251188,15.34517125,13
-61.39220931,15.34474719,21
-61.391779819999996,15.34467043,25
-61.3917439,15.34508029,31
-61.39152862,15.34521587,32
-61.3906869,15.34243301,62
-61.39054122,15.34243414,64
-61.39050799,15.34222174,63
-61.39055869,15.34268387,72
-61.39040971,15.34251954,65
-61.39248018,15.34533524,14
-61.39249566,15.34505502,12
-61.39236339,15.3442765,8
-61.38995786,15.34252643,68
-61.39010117,15.34247346,67
-61.38979217,15.34268649,70
-61.38994031,15.34273258,71
-61.38904732,15.34281667,73
-61.38876752,15.34298373,74
-61.38866287,15.34277284,75
-61.38853328,15.34268094,76
-61.38846247,15.34261806,77
-61.38836542,15.34250877,78
-61.38823398,15.34246987,79
-61.38870388,15.34240476,85
-61.38833008,15.34193018,83
-61.39291012,15.3453151,7
-61.39292985,15.3457287,6
-61.39282256,15.34595617,5
-61.393221,15.34635564,1
-61.39314494,15.34629144,2
-61.39304417,15.34622136,3
-61.39285576,15.34610498,4
-61.3923251,15.3450335,18
-61.39237169,15.34496596,19
-61.39237631,15.34447483,9
-61.39241287,15.34464595,10
-61.39192179,15.34501618,29
-61.3905857,15.34429153,41
-61.39125305,15.34495173,42
-61.39098788,15.34485457,43
-61.3913786,15.3446838,34
-61.39096197,15.34450769,37
-61.3909331,15.34425165,38
-61.39071737,15.34407002,40
-61.39108092,15.34396014,39
-61.39058664,15.34467765,45
-61.39133688,15.34451095,35
-61.39157435,15.34465031,33
-61.38737786,15.34330402,58
-61.38889051,15.34260353,87
-61.38878817,15.34248014,86
-61.39027926,15.34465849,46
-61.39014092,15.34461047,47
-61.39000933,15.34461854,48
-61.38928144,15.34455066,50
-61.38847124,15.34474303,53
-61.38741237,15.34358362,57
-61.38724395,15.34412873,56
-61.38762341,15.34410459,55
-61.38784357,15.34406991,54
-61.38870864,15.34458396,52
-61.38888322,15.34457926,51
-61.39088145,15.34470793,44
-61.3882484,15.34214679,82
-61.38795586,15.34220576,81
-61.3890471,15.34261233,88
-61.39026429,15.34245886,66
-61.39106421,15.3423586,60
-61.39080679,15.34252184,61
-61.39221517,15.344734,22
-61.39226415,15.34490325,20
-61.39221872,15.34504212,17
-61.38983667,15.3445745,49
-61.39177638,15.34248224,59
-61.39232355,15.34524251,15
-61.3880957,15.34239691,80
-61.38878336,15.34202134,90
-61.38894155,15.34215653,89
-61.39170085,15.34485909,27
-61.38855952,15.34236424,84
-61.38970109,15.34259057,69
-61.39197165,15.34521637,30
-61.3920122,15.34444168,23
-61.39168564,15.34473995,26
-61.39189624,15.34456499,24
-61.39112204,15.34456607,36
-61.39193432,15.3448585,28
-61.3858933,15.3005617,92
